Number of Catalogue;Title;Author;Date;Medium;Subjects;Collocations;Relationships
sculpture_0065;Cristo portacroce;Unnamed lombar sculptor;15th century, end;"Marble; h 68,5 cm l 45 cm";Jesus bringing the cross;"(post 1568) Novices altar; Museum";
plastercast_0099;Statua di Giuditta con la testa di Oloferne;Unnamed;Unknown;Plaster;Giudith with Holofernes' head;Museum (Plaster casts gallery);
painting_0001;San Pietro;Ambrogio da Fossano known as il Bergognone (Milano? 1453 ca - Milano, 1523);15th century, end;"Oil on canvas; 121 x 44 cm";Saint Peter;"Ancient Sacristy; (1826); New Sacristy; (1911) Room F of Museum";(1952, Baroni - Samek Ludovici) Madonna in trono tra due angeli (destroyed in 1945): parts of trittico (https://www.lombardiabeniculturali.it/fotografie/schede/IMM-3a010-0002188/)
painting_0002;San Paolo;Ambrogio da Fossano known as il Bergognone (Milano? 1453 ca - Milano, 1523);15th century, end;"Oil on canvas; 121 x 46,50 cm";Saint Paul;"Ancient Sacristy; (1826); New Sacristy; (1911) Room F of Museum";(1952, Baroni - Samek Ludovici) Madonna in trono tra due angeli (destroyed in 1945): parts of trittico (https://www.lombardiabeniculturali.it/fotografie/schede/IMM-3a010-0002188/)
painting_0003;San Benedetto in Cattedra;Ambrogio da Fossano known as il Bergognone (Milano? 1453 ca - Milano, 1523);15th century, end;"Oil on canvas; 148 x 63,5 cm";Saint Benedict;"Ancient Sacristy; (1911) Room F of Museum";
painting_0007;Madonna col Bambino in trono e angeli musicanti tra San Giovanni Battista e San Gerolamo;Bartolomeo Montagna (Vicenza, 1449 ca - 1523);15th century, end;"Oil on canvas; 246 x 175 cm";"Virgin Mary with Jesus; Saint John the Baptist; Saint Jerome; musicians angels";"Saint John the Baptist chapel; Washhouse of the Monks; (ante 1845) New Sacristy; (1911) Room F of Museum";
painting_0015;San Martino e il Povero;Santagostino Giacomo Antonio (attr.);17th century;"Oil on canvas; 148 x 64 cm";Saint Martin;"Noble Guesthouse; (1911) Room A of Museum";Homonymous by Bernardino Luini (https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/0300197229)
painting_0016;Sant'Ambrogio;Santagostino Giacomo Antonio (attr.);17th century;"Oil on canvas; 150 x 64 cm";Saint Ambrose;"Noble Guesthouse; (1911) Room A of Museum";Homonymous by Bernardino Luini (https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/0300197228)
painting_0022;Ecce Homo;Pozzobonelli Giuliano (attr.);16th century, end;"Tempera and oil on canvas; 127 x 94 cm";Resurrected Jesus;Museum;Inspired or copied from the Cristo risorto of Bramantino (https://www.museothyssen.org/coleccion/artistas/bramantino/cristo-resucitado)
painting_0027;Cristo che sta per essere inchiodato alla croce;Vincenzo Campi (Cremona, 1535-1591);16th century, end (signed 1575);"Oil on canvas; 196,5 x 136,5 cm";Jesus;"Ancient Sacristy; (1911) Room F of Museum";
painting_0029;Madonna col Bambino e San Giovannino tra Santo Stefano, Santa Caterina da Siena, l'apostolo San Luca e Santa Maria Maddalena;Gerolamo Ciocca (Milano, active end of 16th century);16th century, end (signed 1588);"Oil on canvas; 218 x 143 cm";"Virgin Mary with Jesus; Saint Joh the Baptist; Saint Stephen; Saint Catherine from Siena; Saint Luc; Saint Mary Magdalene";"Library?; Museum. Found in the deposits and restored in 1991-1992";
painting_0039;Cardinale Girolamo Colonna;Unnamed emilian painter;17th century, middle;"Oil on canvas; 135 x 110 cm";Girolamo Colonna (1604-66);Museum;
painting_0090;Papa Paolo V;Unnamed;17th century, beginning;"Oil on cavas; 132 x 98 cm";Camillo Borghese (1552-1621) known as Paolo V (1605-1621);Museum;Compared with portrait of Paolo V by Caravaggio (https://doi.org/10.5281/zenodo.12752020)
manuscript_Corale 0814, f.21v;S.Giovanni Evangelista a Patmos;Evangelista della Croce;16th century;;Saint John the Evangelist;;
drawing_0011;Prospetto della facciata della Certosa con proposta per il suo coronamento;Martino Bassi (Seregno, 1542 – Milano, 1591) (attr.);16th century;"Pen and ink and pencil on paper; 596 x 432 mm";Facade of the Charterhouse;;
pottery_0004;L'albarello visconteo;Unnamed;14th century, end;"Ceramic, green and yellow paint; h 19,5cm, diameter at the mouth 15/16 cm, diameter at the foot 14 cm";"Visconti's ""Biscione"" eating a man";;
